hh_id,name,link,sal_min,sal_max,valuta
46626796,Модель,https://spb.hh.ru/vacancy/46626796?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,60000,150000,руб.
47315920,Модель,https://spb.hh.ru/vacancy/47315920?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,30000,руб.
47106212,Модель,https://spb.hh.ru/vacancy/47106212?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,70000,140000,руб.
46637907,Модель,https://spb.hh.ru/vacancy/46637907?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,40000,100000,руб.
47174352,Модель,https://spb.hh.ru/vacancy/47174352?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,45000,65000,руб.
46610791,Модель,https://spb.hh.ru/vacancy/46610791?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,40000,100000,руб.
46687601,Модель (реклама),https://spb.hh.ru/vacancy/46687601?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,100000,110000,руб.
44066280,Модель (реклама),https://spb.hh.ru/vacancy/44066280?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,85000,100000,руб.
47282898,Модель в аниме магазин,https://spb.hh.ru/vacancy/47282898?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,75000,руб.
46881355,Модель,https://spb.hh.ru/vacancy/46881355?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47182923,Модель в Tik-Tok house (блогер),https://spb.hh.ru/vacancy/47182923?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46550201,Модель,https://spb.hh.ru/vacancy/46550201?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,40000,50000,руб.
47308868,Фото-модель для коммерческой съемки в Пензе,https://spb.hh.ru/vacancy/47308868?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46973631,Модель (реклама),https://spb.hh.ru/vacancy/46973631?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,75000,руб.
47098427,Модельный скаут,https://spb.hh.ru/vacancy/47098427?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,70000,90000,руб.
47347138,Модель,https://spb.hh.ru/vacancy/47347138?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,100000,руб.
46204543,Модель Instagram,https://spb.hh.ru/vacancy/46204543?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,30000,70000,руб.
47323765,Модель в Аниме магазин,https://spb.hh.ru/vacancy/47323765?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,70000,руб.
47222036,Пиар-модель,https://spb.hh.ru/vacancy/47222036?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47264057,Фотомодель,https://spb.hh.ru/vacancy/47264057?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47149469,Модель/Актер,https://spb.hh.ru/vacancy/47149469?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47123129,Модель по примерке бренда SELA,https://spb.hh.ru/vacancy/47123129?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47136175,Модель,https://spb.hh.ru/vacancy/47136175?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46687443,Модель ювелирных изделий,https://spb.hh.ru/vacancy/46687443?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47075202,Модель,https://spb.hh.ru/vacancy/47075202?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,70000,100000,руб.
47094583,Фото-модель в Санкт-Петербург,https://spb.hh.ru/vacancy/47094583?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47109315,Tequila Girl / Tequila Boy (промо-модель),https://spb.hh.ru/vacancy/47109315?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,40000,100000,руб.
46163900,Модель Instagram,https://spb.hh.ru/vacancy/46163900?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47090622,Модель,https://spb.hh.ru/vacancy/47090622?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,35000,65000,руб.
47097675,Модель прямых эфиров,https://spb.hh.ru/vacancy/47097675?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46973945,Модель Для Рекламы Табачной Продукции,https://spb.hh.ru/vacancy/46973945?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,65000,руб.
46980771,Администратор / Менеджер по поиску моделей,https://spb.hh.ru/vacancy/46980771?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46234684,Модель,https://spb.hh.ru/vacancy/46234684?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,50000,50000,руб.
47060603,Модель,https://spb.hh.ru/vacancy/47060603?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47003419,Модель,https://spb.hh.ru/vacancy/47003419?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46976462,Модель/фотомодель,https://spb.hh.ru/vacancy/46976462?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
47293341,Дизайнер-модельер,https://spb.hh.ru/vacancy/47293341?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,,,
46988728,Модель,https://spb.hh.ru/vacancy/46988728?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,60000,140000,руб.
46993505,Модель / Блогер-модель,https://spb.hh.ru/vacancy/46993505?from=vacancy_search_list&query=%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C,45000,75000,руб.
